
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:27:22:1A:BD:D7, 2013-12-13 17:39:19, 2013-12-13 17:40:58,  6,  54, WPA2, CCMP,PSK, -99,      917,     2369,   0.  0.  0.  0,  16, www.yrless.co.nz, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:27:22:3A:2E:9A, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        1, 00:27:22:1A:BD:D7,
00:27:22:34:01:66, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        1, 00:27:22:1A:BD:D7,
00:27:22:34:54:A5, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        1, 00:27:22:1A:BD:D7,
00:27:22:36:AF:28, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        2, 00:27:22:1A:BD:D7,
00:27:22:2E:13:99, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        1, 00:27:22:1A:BD:D7,
00:27:22:2A:F1:79, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        1, 00:27:22:1A:BD:D7,
00:27:22:E2:9B:78, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        2, 00:27:22:1A:BD:D7,
DC:9F:DB:3A:A1:4F, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        2, 00:27:22:1A:BD:D7,
00:27:22:3E:03:DF, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        3, 00:27:22:1A:BD:D7,
00:27:22:32:6D:E5, 2013-12-13 17:39:21, 2013-12-13 17:39:21,  -1,        2, 00:27:22:1A:BD:D7,
00:15:6D:5E:A5:78, 2013-12-13 17:39:19, 2013-12-13 17:40:58,  -1,     3530, 00:27:22:1A:BD:D7,
00:27:22:36:AE:77, 2013-12-13 17:39:21, 2013-12-13 17:40:50,  -1,       77, 00:27:22:1A:BD:D7,
00:17:C4:E4:66:98, 2013-12-13 17:39:34, 2013-12-13 17:40:02,   0,      896, 00:27:22:1A:BD:D7,


